#,Priority (Prioridad),Status (Estado),Page (Página),Topic (Tema),Cluster (Grupo),Repetition n (Repetición),Quote — verbatim (Cita textual),Proposed fix (Solución propuesta),Effort (Esfuerzo),ETA bucket (Bucket ETA),Linked task ref (Tarea ligada)
48,P1,🟡 In progress / scheduled (En progreso / programado),https://konti-demo.replit.app/dashboard,Content (Contenido),Client view / portal,12,"entendemos que esta parte deberia ir dentro de los proyectos y lo primero que vemos en el dashboard debe ser solamente active projects y recent activity. lo que esta en el screenshot debe estar dentro de cada proyecto y especifica para cada proyecto, no juntando la data de cada proyecto. Es overwhelming ver el total de todos los proyectos.","Restructure the dashboard to show only Active Projects + Recent Activity, and move the aggregated stats into each project page (#18 covers the construction-status card portion).",L,1 week,Task #18
8,P1,🟡 In progress / scheduled (En progreso / programado),https://konti-demo.replit.app/projects/proj-2/report,Design (Diseño),PDF report export,5,Poder editar las fechas de reportes y que aparezcan los reportes generados a un costado para imprimirlos o descargarlos la cantidad de veces que quisiéramos.,Make report dates editable and list every previously generated report alongside the page for re-download/print (Task #29 underway).,L,1 week,"Task #4, Task #29"
5,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/dashboard,Feature request (Solicitud),Other / cross-cutting,3,Me gusta esta sección. Le sumaria la posibilidad de hacer click en las actividades e ir a ver detalles,Make the activity-feed entries clickable so they deep-link to the related project / activity detail.,M,2–3 days,—
7,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Other / cross-cutting,3,Quedaria pendiente una sección de  logs de acciones del cliente en la plataforma,Add a client-action audit log on the project page (who did what and when).,L,1 week,—
12,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Content (Contenido),Other / cross-cutting,3,Cambiar texto a Cronograma del proyecto,Rename the timeline label on the project page to 'Cronograma del proyecto'.,S,≤ 1 day,—
18,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Design (Diseño),Branding / logo,3,Este gris oscuro es demasiado oscuro me parece; usar gris KONTi de marca https://drive.google.com/drive/folders/12JZdXlT1zTE8tBLS9S51O1NJXR1G_YJ2,Soften the dark-gray header on the project page to the KONTi brand gray (per the brand-asset folder).,S,≤ 1 day,—
87,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/permits,Content (Contenido),Permits / OGPe,3,"this should say ""Permit Documentation""",Rename the permits header to 'Permit Documentation'.,S,≤ 1 day,—
88,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/permits,Content (Contenido),Permits / OGPe,3,"we have the permits docs separated in the excell sheet by type of permit : PCOC, USO, Consulta de Ubicacion, etc. Can we do this here?","Split the permits view by permit type (PCOC, USO, Consulta de Ubicación, etc.) to mirror the team's spreadsheet.",M,2–3 days,—
89,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/permits,Content (Contenido),Permits / OGPe,3,la primera pagina del excell de permiso tiene la data legal del proyecto y todos los ingenieros que trabajaron en el mismo. eso es sumamente importante que salga aqui para lo que podamos llenar,Surface the legal/engineer header (project legal data + engineers of record) at the top of the permits view so the team can fill it in.,M,2–3 days,—
97,P1,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Design (Diseño),Branding / logo,3,este logo esta muy pequeño.,Increase the report logo size and tighten the header layout so it doesn't look squashed.,S,≤ 1 day,—
40,P1,🟡 In progress / scheduled (En progreso / programado),https://konti-demo.replit.app/ai,Other (Otro),AI assistant,1,Armar notas de las preguntas realizadas por el cliente,Auto-summarize the client's chat questions and persist them as project notes (Task #23 shipped UI; #30 schedules persistence).,L,1 week,"Task #23, Task #30"
43,P1,🟡 In progress / scheduled (En progreso / programado),https://konti-demo.replit.app/ai,Other (Otro),Project creation / phases,1,Sumar el punchlist como checklist para pasar de etapas,Promote the punchlist as the formal phase-advance gate and persist it across restarts (Task #25 shipped gate; #32 schedules persistence).,L,1 week,"Task #25, Task #32"
11,P2,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Documents / files,2,No veo la sección de Organizar la categoría “Acuerdos” por “Contratos y Acuerdos de compra”,Group project documents into 'Contratos' and 'Acuerdos de compra' categories (today the list is flat).,M,2–3 days,—
80,P2,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1776983841174,Content (Contenido),Documents / files,2,"how do you categorize the document? permits, punchlist, drawings, etc?","Add a document categorization picker on upload (permits, punchlist, drawings, etc.).",M,2–3 days,—
2,P3,⏳ Pending (Pendiente),https://konti-demo.replit.app/materials,Content (Contenido),Materials library,1,Agregar botón de AÑADIR MATERIALES,Add an 'AÑADIR MATERIALES' (Add Materials) button at the top of the materials library page.,S,≤ 1 day,—
61,P3,⏳ Pending (Pendiente),https://konti-demo.replit.app/team,Content (Contenido),Team directory,1,"deberiamos poder upload personas nuevas para que tengamos el directorio de los contratistas y podamos ir uploading la informacion de ellos... 

a menos que esto sea solamente users de la plataforma??",Add an upload flow for new contractor records so the directory grows beyond platform users.,M,2–3 days,—
74,P3,⏳ Pending (Pendiente),https://konti-demo.replit.app/leads,Content (Contenido),Leads intake,1,que son estos scores?,"Add an inline legend on the leads list explaining what each score means (e.g., temperature, BANT components).",S,≤ 1 day,—
